FA002,ROWLANDS PHARMACY,61 ARUNDEL AVENUE,HAZEL GROVE,STOCKPORT,,,SK7 5LD,0161 4838729,53.372375,-2.127355
FA007,ROWLANDS PHARMACY,1010A & 10B BENTALLS CTR,COLCHESTER ROAD,HEYBRIDGE MALDON,,,CM9 4GD,01621 850559,51.740496,0.689189
FA008,BOOTS UK LIMITED,49-51 THE MERRION CENTRE,LEEDS,WEST YORKSHIRE,,,LS2 8PJ,0113 2428194,53.802136,-1.544251
